Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
03-10-2022,07:24,30-09-2022,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.07,USD,-0.07,
01-10-2022,14:11,30-09-2022,,,Flatex Interest,,EUR,-0.03,EUR,48.31,
13-09-2022,17:03,13-09-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,36 EUR",,,,EUR,48.34,
13-09-2022,17:03,13-09-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.36,EUR,46.98,
13-09-2022,07:33,12-09-2022,ABN AMRO GROUP,NL0011540547,Dividend,,EUR,1.60,EUR,48.34,
13-09-2022,07:33,12-09-2022,ABN AMRO GROUP,NL0011540547,Dividendbelasting,,EUR,-0.24,EUR,46.74,
12-09-2022,17:48,12-09-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 53,02 EUR",,,,EUR,46.98,
12-09-2022,17:48,12-09-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,53.02,EUR,100.00,
12-09-2022,11:20,09-09-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 14,22 EUR",,,,EUR,46.98,
12-09-2022,11:20,09-09-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,14.22,EUR,61.20,
12-09-2022,10:41,09-09-2022,,,iDEAL Deposit,,EUR,100.00,EUR,46.98,
12-09-2022,10:41,09-09-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,-100.00,EUR,-53.02,
09-09-2022,15:30,09-09-2022,REALTY INCOME CORPORAT,US7561091049,Valuta Creditering,1.0024,USD,66.40,USD,0.00,2f710a4c-0f7c-4939-b6e7-8cce13248dce
09-09-2022,15:30,09-09-2022,REALTY INCOME CORPORAT,US7561091049,Valuta Debitering,,EUR,-66.24,EUR,46.98,2f710a4c-0f7c-4939-b6e7-8cce13248dce
09-09-2022,15:30,09-09-2022,REALTY INCOME CORPORAT,US7561091049,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,113.22,2f710a4c-0f7c-4939-b6e7-8cce13248dce
09-09-2022,15:30,09-09-2022,REALTY INCOME CORPORAT,US7561091049,"Koop 1 @ 66,4 USD",,USD,-66.40,USD,-66.40,2f710a4c-0f7c-4939-b6e7-8cce13248dce
08-09-2022,23:18,08-09-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,100.00,EUR,114.22,
02-09-2022,17:48,02-09-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,78 EUR",,,,EUR,14.22,
02-09-2022,17:48,02-09-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.78,EUR,13.44,
02-09-2022,10:54,01-09-2022,AHOLD DELHAIZE,NL0011794037,Dividend,,EUR,0.92,EUR,14.22,
02-09-2022,10:54,01-09-2022,AHOLD DELHAIZE,NL0011794037,Dividendbelasting,,EUR,-0.14,EUR,13.30,
26-08-2022,10:07,25-08-2022,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank,,,,EUR,13.44,
,,,,,"62,06 EUR",,,,,,
26-08-2022,10:07,25-08-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,62.06,EUR,75.50,
25-08-2022,15:30,25-08-2022,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Creditering,0.9942,USD,61.20,USD,0.00,96cb5a26-89a6-4968-ba27-81d79c8b1087
25-08-2022,15:30,25-08-2022,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Debitering,,EUR,-61.56,EUR,13.44,96cb5a26-89a6-4968-ba27-81d79c8b1087
25-08-2022,15:30,25-08-2022,MEDICAL PROPERTIES TRU,US58463J3041,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-0.50,EUR,75.00,96cb5a26-89a6-4968-ba27-81d79c8b1087
25-08-2022,15:30,25-08-2022,MEDICAL PROPERTIES TRU,US58463J3041,"Koop 4 @ 15,3 USD",,USD,-61.20,USD,-61.20,96cb5a26-89a6-4968-ba27-81d79c8b1087
17-08-2022,17:03,17-08-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,78 EUR",,,,EUR,75.50,
17-08-2022,17:03,17-08-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.78,EUR,74.72,
17-08-2022,07:32,16-08-2022,,,Valuta Creditering,,EUR,0.78,EUR,75.50,
17-08-2022,07:32,16-08-2022,,,Valuta Debitering,1.0196,USD,-0.80,USD,0.00,
16-08-2022,07:22,15-08-2022,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.94,USD,0.80,
16-08-2022,07:22,15-08-2022,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
15-08-2022,16:48,15-08-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,14 EUR",,,,EUR,74.72,
15-08-2022,16:48,15-08-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.14,EUR,74.58,
15-08-2022,09:55,15-08-2022,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.17,EUR,74.72,
15-08-2022,09:55,15-08-2022,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.03,EUR,74.55,
02-08-2022,17:18,02-08-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,13 EUR",,,,EUR,74.58,
02-08-2022,17:18,02-08-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.13,EUR,71.45,
02-08-2022,07:32,01-08-2022,,,Valuta Creditering,,EUR,3.13,EUR,74.58,
02-08-2022,07:32,01-08-2022,,,Valuta Debitering,1.0288,USD,-3.22,USD,0.00,
01-08-2022,10:12,01-08-2022,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,3.22,
01-08-2022,10:12,01-08-2022,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,0.72,
01-08-2022,08:45,01-08-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.28,USD,1.09,
01-08-2022,08:45,01-08-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.19,USD,-0.19,
13-07-2022,16:47,13-07-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,52 EUR",,,,EUR,71.45,
13-07-2022,16:47,13-07-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.52,EUR,69.93,
13-07-2022,07:33,12-07-2022,,,Valuta Creditering,,EUR,1.52,EUR,71.45,
13-07-2022,07:33,12-07-2022,,,Valuta Debitering,1.0061,USD,-1.53,USD,0.00,
12-07-2022,08:41,11-07-2022,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.80,USD,1.53,
12-07-2022,08:41,11-07-2022,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.27,USD,-0.27,
02-07-2022,23:50,30-06-2022,,,Flatex Interest,,EUR,-0.08,EUR,69.93,
28-06-2022,16:18,28-06-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,34 EUR",,,,EUR,70.01,
28-06-2022,16:18,28-06-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.34,EUR,69.67,
28-06-2022,07:35,27-06-2022,,,Valuta Creditering,,EUR,0.34,EUR,70.01,
28-06-2022,07:35,27-06-2022,,,Valuta Debitering,1.0608,USD,-0.36,USD,0.00,
27-06-2022,07:12,24-06-2022,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.42,USD,0.36,
27-06-2022,07:12,24-06-2022,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.06,USD,-0.06,
19-05-2022,17:17,19-05-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,59 EUR",,,,EUR,69.67,
19-05-2022,17:17,19-05-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.59,EUR,67.08,
19-05-2022,10:24,18-05-2022,ABN AMRO GROUP,NL0011540547,Dividend,,EUR,3.05,EUR,69.67,
19-05-2022,10:24,18-05-2022,ABN AMRO GROUP,NL0011540547,Dividendbelasting,,EUR,-0.46,EUR,66.62,
18-05-2022,16:47,18-05-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,96 EUR",,,,EUR,67.08,
18-05-2022,16:47,18-05-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.96,EUR,66.12,
18-05-2022,07:51,18-05-2022,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.23,EUR,67.08,
18-05-2022,07:51,18-05-2022,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.03,EUR,66.85,
18-05-2022,07:34,17-05-2022,,,Valuta Creditering,,EUR,0.76,EUR,66.88,
18-05-2022,07:34,17-05-2022,,,Valuta Debitering,1.0577,USD,-0.80,USD,0.00,
17-05-2022,09:36,16-05-2022,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.94,USD,0.80,
17-05-2022,09:36,16-05-2022,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
09-05-2022,18:32,09-05-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,35 EUR",,,,EUR,66.12,
09-05-2022,18:32,09-05-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.35,EUR,65.77,
09-05-2022,10:58,09-05-2022,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.41,EUR,66.12,
09-05-2022,10:58,09-05-2022,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.06,EUR,65.71,
03-05-2022,18:48,03-05-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,05 EUR",,,,EUR,65.77,
03-05-2022,18:48,03-05-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.05,EUR,62.72,
03-05-2022,08:17,02-05-2022,,,Valuta Creditering,,EUR,3.05,EUR,65.77,
03-05-2022,08:17,02-05-2022,,,Valuta Debitering,1.0534,USD,-3.22,USD,0.00,
02-05-2022,18:17,02-05-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,44 EUR",,,,EUR,62.72,
02-05-2022,18:17,02-05-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.44,EUR,61.28,
02-05-2022,07:51,02-05-2022,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,3.22,
02-05-2022,07:51,02-05-2022,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,0.72,
02-05-2022,07:38,02-05-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.28,USD,1.09,
02-05-2022,07:38,02-05-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.19,USD,-0.19,
30-04-2022,07:33,29-04-2022,,,Valuta Creditering,,EUR,1.44,EUR,62.72,
30-04-2022,07:33,29-04-2022,,,Valuta Debitering,1.0569,USD,-1.53,USD,0.00,
29-04-2022,19:47,29-04-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,88 EUR",,,,EUR,61.28,
29-04-2022,19:47,29-04-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.88,EUR,60.40,
29-04-2022,13:52,29-04-2022,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.80,USD,1.53,
29-04-2022,13:52,29-04-2022,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.27,USD,-0.27,
29-04-2022,07:51,28-04-2022,AHOLD DELHAIZE,NL0011794037,Dividend,,EUR,1.04,EUR,61.28,
29-04-2022,07:51,28-04-2022,AHOLD DELHAIZE,NL0011794037,Dividendbelasting,,EUR,-0.16,EUR,60.24,
21-04-2022,16:32,21-04-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 4,12 EUR",,,,EUR,60.40,
21-04-2022,16:32,21-04-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.12,EUR,56.28,
21-04-2022,07:33,20-04-2022,,,Valuta Creditering,,EUR,4.12,EUR,60.40,
21-04-2022,07:33,20-04-2022,,,Valuta Debitering,1.0881,USD,-4.49,USD,0.00,
20-04-2022,15:19,19-04-2022,AT&T INC.,US00206R1023,Verrekening van Aandelen,,USD,4.49,USD,4.49,
19-04-2022,12:18,15-04-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 3,73 EUR",,,,EUR,56.28,
19-04-2022,12:18,15-04-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,3.73,EUR,60.01,
15-04-2022,08:16,14-04-2022,,,Valuta Debitering,,EUR,-3.73,EUR,56.28,
15-04-2022,08:16,14-04-2022,,,Valuta Creditering,1.0802,USD,4.04,USD,0.00,
14-04-2022,17:10,11-04-2022,WARNER BROS DISCOVERY INC,US9344231041,SPIN-OFF: Koop 2 @ 0 USD,,USD,0.00,USD,-4.04,
14-04-2022,17:06,11-04-2022,WARNER BROS DISCOVERY INC,US9344231041,SPIN-OFF: Verkoop 2 @ 0 USD,,USD,0.00,USD,-4.04,
14-04-2022,17:02,14-04-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,69 EUR",,,,EUR,60.01,
14-04-2022,17:02,14-04-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.69,EUR,56.32,
14-04-2022,10:32,13-04-2022,AT&T INC.,US00206R1023,Verrekening van Aandelen,,USD,-4.04,USD,-4.04,
14-04-2022,07:32,13-04-2022,,,Valuta Creditering,,EUR,3.69,EUR,60.01,
14-04-2022,07:32,13-04-2022,,,Valuta Debitering,1.0920,USD,-4.04,USD,0.00,
13-04-2022,10:22,12-04-2022,AT&T INC.,US00206R1023,Verrekening van Aandelen,,USD,4.04,USD,4.04,
11-04-2022,11:37,11-04-2022,WARNER BROS DISCOVERY INC,US9344231041,SPIN-OFF: Koop 2 @ 0 USD,,USD,0.00,USD,0.00,
02-04-2022,12:30,31-03-2022,,,Flatex Interest,,EUR,-0.07,EUR,56.32,
29-03-2022,18:17,29-03-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,32 EUR",,,,EUR,56.39,
29-03-2022,18:17,29-03-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.32,EUR,56.07,
29-03-2022,08:33,28-03-2022,,,Valuta Creditering,,EUR,0.32,EUR,56.39,
29-03-2022,08:33,28-03-2022,,,Valuta Debitering,1.1014,USD,-0.36,USD,0.00,
28-03-2022,08:13,25-03-2022,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.42,USD,0.36,
28-03-2022,08:13,25-03-2022,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.06,USD,-0.06,
16-02-2022,16:47,16-02-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,7 EUR",,,,EUR,56.07,
16-02-2022,16:47,16-02-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.70,EUR,55.37,
16-02-2022,07:36,15-02-2022,,,Valuta Creditering,,EUR,0.70,EUR,56.07,
16-02-2022,07:36,15-02-2022,,,Valuta Debitering,1.1387,USD,-0.80,USD,0.00,
15-02-2022,07:28,14-02-2022,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.94,USD,0.80,
15-02-2022,07:28,14-02-2022,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
04-02-2022,10:15,03-02-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 7,2 EUR",,,,EUR,55.37,
04-02-2022,10:15,03-02-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,7.20,EUR,62.57,
03-02-2022,10:00,31-01-2022,,,DEGIRO Aansluitingskosten 2022 (New York Stock Exchange - NSY),,EUR,-2.40,EUR,55.37,
03-02-2022,10:00,31-01-2022,,,DEGIRO Aansluitingskosten 2022 (Nasdaq - NDQ),,EUR,-2.40,EUR,57.77,
03-02-2022,10:00,31-01-2022,,,DEGIRO Aansluitingskosten 2022 (Boerse Frankfurt - FRA),,EUR,-2.40,EUR,60.17,
02-02-2022,17:17,02-02-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 4,48 EUR",,,,EUR,62.57,
02-02-2022,17:17,02-02-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.48,EUR,58.09,
02-02-2022,07:40,01-02-2022,,,Valuta Creditering,,EUR,4.48,EUR,62.57,
02-02-2022,07:40,01-02-2022,,,Valuta Debitering,1.1302,USD,-5.07,USD,0.00,
01-02-2022,08:03,01-02-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.28,USD,5.07,
01-02-2022,08:03,01-02-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.19,USD,3.79,
01-02-2022,07:57,01-02-2022,AT&T INC.,US00206R1023,Dividend,,USD,4.68,USD,3.98,
01-02-2022,07:57,01-02-2022,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.70,USD,-0.70,
12-01-2022,17:17,12-01-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,34 EUR",,,,EUR,58.09,
12-01-2022,17:17,12-01-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.34,EUR,56.75,
12-01-2022,07:36,11-01-2022,,,Valuta Creditering,,EUR,1.34,EUR,58.09,
12-01-2022,07:36,11-01-2022,,,Valuta Debitering,1.1397,USD,-1.53,USD,0.00,
11-01-2022,07:53,10-01-2022,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.80,USD,1.53,
11-01-2022,07:53,10-01-2022,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.27,USD,-0.27,
05-01-2022,11:53,04-01-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,31 EUR",,,,EUR,56.75,
05-01-2022,11:53,04-01-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.31,EUR,56.44,
04-01-2022,07:44,03-01-2022,,,Valuta Creditering,,EUR,0.31,EUR,56.75,
04-01-2022,07:44,03-01-2022,,,Valuta Debitering,1.1325,USD,-0.36,USD,0.00,
03-01-2022,08:50,31-12-2021,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.42,USD,0.36,
03-01-2022,08:50,31-12-2021,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.06,USD,-0.06,
31-12-2021,06:40,31-12-2021,,,Flatex Interest,,EUR,-0.06,EUR,56.44,
02-12-2021,18:34,02-12-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,18 EUR",,,,EUR,56.50,
02-12-2021,18:34,02-12-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,0.18,EUR,56.68,
02-12-2021,07:28,30-11-2021,,,DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY),,EUR,-0.06,EUR,56.50,
02-12-2021,07:28,30-11-2021,,,DEGIRO Aansluitingskosten 2021 (Nasdaq - NDQ),,EUR,-0.06,EUR,56.56,
02-12-2021,07:28,30-11-2021,,,DEGIRO Aansluitingskosten 2021 (Boerse Frankfurt - FRA),,EUR,-0.06,EUR,56.62,
18-11-2021,10:33,17-11-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,7 EUR",,,,EUR,56.68,
18-11-2021,10:33,17-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.70,EUR,55.98,
17-11-2021,07:35,16-11-2021,,,Valuta Creditering,,EUR,0.70,EUR,56.68,
17-11-2021,07:35,16-11-2021,,,Valuta Debitering,1.1331,USD,-0.80,USD,0.00,
16-11-2021,08:56,15-11-2021,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.94,USD,0.80,
16-11-2021,08:56,15-11-2021,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
04-11-2021,10:47,03-11-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,94 EUR",,,,EUR,55.98,
04-11-2021,10:47,03-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.94,EUR,55.04,
03-11-2021,11:47,02-11-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,42 EUR",,,,EUR,55.98,
03-11-2021,11:47,02-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.42,EUR,52.56,
03-11-2021,07:32,02-11-2021,,,Valuta Creditering,,EUR,0.94,EUR,55.98,
03-11-2021,07:32,02-11-2021,,,Valuta Debitering,1.1591,USD,-1.09,USD,0.00,
02-11-2021,12:35,01-11-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,09 EUR",,,,EUR,55.04,
02-11-2021,12:35,01-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,0.09,EUR,55.13,
02-11-2021,07:46,01-11-2021,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.28,USD,1.09,
02-11-2021,07:46,01-11-2021,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.19,USD,-0.19,
02-11-2021,07:33,01-11-2021,,,Valuta Creditering,,EUR,3.42,EUR,55.04,
02-11-2021,07:33,01-11-2021,,,Valuta Debitering,1.1618,USD,-3.98,USD,0.00,
01-11-2021,14:26,31-10-2021,,,DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY),,EUR,-0.03,EUR,51.62,
01-11-2021,14:26,31-10-2021,,,DEGIRO Aansluitingskosten 2021 (Nasdaq - NDQ),,EUR,-0.03,EUR,51.65,
01-11-2021,14:26,31-10-2021,,,DEGIRO Aansluitingskosten 2021 (Boerse Frankfurt - FRA),,EUR,-0.03,EUR,51.68,
01-11-2021,13:50,01-11-2021,AT&T INC.,US00206R1023,Dividend,,USD,4.68,USD,3.98,
01-11-2021,13:50,01-11-2021,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.70,USD,-0.70,
27-10-2021,11:17,26-10-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,89 EUR",,,,EUR,51.71,
27-10-2021,11:17,26-10-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.89,EUR,48.82,
26-10-2021,07:17,25-10-2021,ABN AMRO GROUP,NL0011540547,Dividend,,EUR,3.40,EUR,51.71,
26-10-2021,07:17,25-10-2021,ABN AMRO GROUP,NL0011540547,Dividendbelasting,,EUR,-0.51,EUR,48.31,
15-10-2021,12:17,14-10-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,31 EUR",,,,EUR,48.82,
15-10-2021,12:17,14-10-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.31,EUR,47.51,
14-10-2021,12:33,13-10-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,41 EUR",,,,EUR,48.82,
14-10-2021,12:33,13-10-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.41,EUR,48.41,
14-10-2021,07:31,13-10-2021,,,Valuta Creditering,,EUR,1.31,EUR,48.82,
14-10-2021,07:31,13-10-2021,,,Valuta Debitering,1.1608,USD,-1.53,USD,0.00,
13-10-2021,08:15,12-10-2021,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.48,EUR,47.51,
13-10-2021,08:15,12-10-2021,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.07,EUR,47.03,
13-10-2021,07:49,12-10-2021,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.80,USD,1.53,
13-10-2021,07:49,12-10-2021,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.27,USD,-0.27,
06-10-2021,11:49,05-10-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,06 EUR",,,,EUR,47.10,
06-10-2021,11:49,05-10-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,0.06,EUR,47.16,
02-10-2021,10:47,30-09-2021,,,DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY),,EUR,-0.02,EUR,47.10,
02-10-2021,10:47,30-09-2021,,,DEGIRO Aansluitingskosten 2021 (Nasdaq - NDQ),,EUR,-0.02,EUR,47.12,
02-10-2021,10:47,30-09-2021,,,DEGIRO Aansluitingskosten 2021 (Boerse Frankfurt - FRA),,EUR,-0.02,EUR,47.14,
02-10-2021,03:10,30-09-2021,,,Flatex Interest,,EUR,-0.06,EUR,47.16,
29-09-2021,10:36,28-09-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,3 EUR",,,,EUR,47.22,
29-09-2021,10:36,28-09-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.30,EUR,46.92,
28-09-2021,07:31,27-09-2021,,,Valuta Debitering,,EUR,0.30,EUR,47.22,
28-09-2021,07:31,27-09-2021,,,Valuta Debitering,1.1706,USD,-0.36,USD,0.00,
27-09-2021,08:11,24-09-2021,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.42,USD,0.36,
27-09-2021,08:11,24-09-2021,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.06,USD,-0.06,
06-09-2021,10:46,03-09-2021,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,73 EUR",,,,EUR,46.92,
06-09-2021,10:46,03-09-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.73,EUR,46.19,
03-09-2021,12:34,02-09-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,09 EUR",,,,EUR,46.92,
03-09-2021,12:34,02-09-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,0.09,EUR,47.01,
03-09-2021,07:28,02-09-2021,AHOLD DELHAIZE,NL0011794037,Dividend,,EUR,0.86,EUR,46.92,
03-09-2021,07:28,02-09-2021,AHOLD DELHAIZE,NL0011794037,Dividendbelasting,,EUR,-0.13,EUR,46.06,
